"","serie","x","y","z","floor","wifiumts_rssi64ae0c562ff0","wifiumts_rssi64ae0c861fb0","wifiumts_rssi64ae0c867200","wifiumts_rssi64ae0c86a230","wifiumts_rssi64ae0c86a390","wifiumts_rssi64ae0c86a550","wifiumts_rssi64ae0c86d480","wifiumts_rssi64ae0c86d880","wifiumts_rssi64ae0c86db10","wifiumts_rssi64ae0c86dd50","wifiumts_rssi64ae0c86de30","wifiumts_rssi64ae0c86df40","wifiumts_rssi64ae0c86e090","wifiumts_rssi64ae0c86e110","wifiumts_rssi64ae0c86e4f0","wifiumts_rssi64ae0c86ef40","wifiumts_rssi64ae0c86fd30","wifiumts_rssi64ae0c8718b0","wifiumts_rssi64ae0c8739d0","wifiumts_rssi64ae0c875230","wifiumts_rssi64ae0c875ca0","wifiumts_rssi64ae0c876760","wifiumts_rssi64ae0c877300","wifiumts_rssi64ae0c87bea0","wifiumts_rssi64ae0c87cfb0","wifiumts_rssi64ae0c87d430","wifiumts_rssi64ae0c907830","wifiumts_rssi64ae0c907890","wifiumts_rssi64ae0c907ba0","wifiumts_rssi64ae0c907dc0","wifiumts_rssi64ae0c907f00","wifiumts_rssi64ae0c907f70","wifiumts_rssi64ae0c908140","wifiumts_rssi64ae0c915320","wifiumts_rssi64ae0c916890","wifiumts_rssi64ae0cbee920","wifiumts_rssi64d9896be440","wifiumts_rssi64d989c5a120","wifiumts_rssib8621f16db70","wifiumts_rssib8621f171a50","wifiumts_rssib8621f1735d0","wifiumts_rssib8621f1ceef0","wifiumts_rssib8621f1cef00","wifiumts_rssib8621f1cf220","wifiumts_rssib8621f1cff00","wifiumts_rssib8621f1d0160"
"1",3,0.75,66,9.99,3,NA,NA,-70,NA,NA,NA,-78,NA,NA,-90,NA,NA,NA,NA,-88,NA,NA,NA,NA,NA,NA,NA,-92,NA,NA,-85,NA,-87,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",3,0.75,66,9.99,3,NA,NA,-67,NA,NA,NA,-79,NA,NA,-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85,NA,-89,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,0.75,66,9.99,3,NA,NA,-67,NA,NA,NA,-75,NA,NA,-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85,NA,-89,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",3,0.75,66,9.99,3,NA,NA,-65,NA,NA,NA,-75,NA,NA,-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85,NA,-89,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",3,0.75,66,9.99,3,NA,NA,-65,NA,NA,NA,-75,NA,NA,-90,NA,NA,NA,NA,-90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85,NA,-89,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3,0.75,66,9.99,3,NA,NA,-65,NA,NA,NA,-76,NA,NA,-90,NA,NA,NA,NA,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85,NA,-89,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3,0.75,66,9.99,3,NA,NA,-63,NA,NA,NA,-76,NA,NA,-90,NA,NA,NA,NA,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85,NA,NA,-89,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",3,0.75,66,9.99,3,NA,NA,-63,NA,NA,NA,-74,NA,NA,-90,NA,NA,NA,NA,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85,NA,NA,-89,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",3,0.75,66,9.99,3,NA,NA,-71,NA,NA,NA,-74,NA,NA,-87,NA,NA,NA,NA,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85,NA,NA,-89,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",3,0.75,66,9.99,3,NA,NA,-64,NA,NA,NA,-74,NA,NA,-87,NA,NA,NA,NA,-89,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85,-93,NA,-89,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
