"x","y","floor"
0.75,21,1
0.75,19.5,1
0.75,18,1
0.75,16.5,1
0.75,10.5,1
0.75,9,1
0.75,7.5,1
0.75,6,1
0.75,4.5,1
0.75,3,1
0.75,1.5,1
2.25,66,1
2.25,64.5,1
2.25,40.5,1
2.25,39,1
2.25,37.5,1
2.25,36,1
2.25,34.5,1
2.25,33,1
2.25,30,1
2.25,28.5,1
2.25,27,1
2.25,25.5,1
2.25,24,1
2.25,22.5,1
2.25,21,1
2.25,19.5,1
2.25,18,1
2.25,16.5,1
2.25,10.5,1
2.25,9,1
2.25,7.5,1
2.25,6,1
2.25,4.5,1
2.25,3,1
2.25,1.5,1
3.75,66,1
3.75,64.5,1
3.75,40.5,1
3.75,39,1
3.75,37.5,1
3.75,36,1
3.75,34.5,1
3.75,33,1
3.75,30,1
3.75,28.5,1
3.75,27,1
3.75,25.5,1
3.75,24,1
3.75,22.5,1
3.75,21,1
3.75,19.5,1
3.75,18,1
3.75,16.5,1
3.75,10.5,1
3.75,9,1
3.75,7.5,1
3.75,6,1
3.75,4.5,1
3.75,3,1
5.25,66,1
5.25,64.5,1
5.25,40.5,1
5.25,39,1
5.25,37.5,1
5.25,36,1
5.25,34.5,1
5.25,33,1
5.25,30,1
5.25,28.5,1
5.25,27,1
5.25,25.5,1
5.25,24,1
5.25,22.5,1
5.25,21,1
5.25,19.5,1
5.25,18,1
5.25,16.5,1
5.25,10.5,1
5.25,9,1
5.25,7.5,1
5.25,6,1
5.25,4.5,1
5.25,3,1
6.75,66,1
6.75,64.5,1
6.75,39,1
6.75,37.5,1
6.75,36,1
6.75,34.5,1
6.75,33,1
6.75,30,1
6.75,28.5,1
6.75,27,1
6.75,25.5,1
6.75,24,1
6.75,22.5,1
6.75,21,1
6.75,19.5,1
6.75,18,1
6.75,16.5,1
6.75,10.5,1
6.75,9,1
6.75,7.5,1
6.75,6,1
6.75,4.5,1
8.25,66,1
8.25,64.5,1
8.25,40.5,1
8.25,39,1
8.25,37.5,1
8.25,36,1
8.25,34.5,1
8.25,33,1
8.25,30,1
8.25,28.5,1
8.25,27,1
8.25,25.5,1
8.25,24,1
8.25,22.5,1
8.25,21,1
8.25,19.5,1
8.25,18,1
8.25,16.5,1
8.25,13.5,1
9.75,63,1
9.75,40.5,1
9.75,39,1
9.75,37.5,1
9.75,36,1
9.75,34.5,1
9.75,33,1
9.75,30,1
9.75,28.5,1
9.75,27,1
9.75,25.5,1
9.75,24,1
9.75,22.5,1
9.75,21,1
9.75,19.5,1
9.75,18,1
9.75,16.5,1
9.75,13.5,1
9.75,10.5,1
9.75,9,1
9.75,7.5,1
9.75,6,1
11.25,40.5,1
11.25,39,1
11.25,37.5,1
11.25,36,1
11.25,34.5,1
11.25,33,1
11.25,30,1
11.25,28.5,1
11.25,27,1
11.25,25.5,1
11.25,24,1
11.25,22.5,1
11.25,21,1
11.25,19.5,1
11.25,18,1
11.25,16.5,1
11.25,13.5,1
11.25,10.5,1
11.25,9,1
11.25,7.5,1
11.25,6,1
12.75,40.5,1
12.75,39,1
12.75,31.5,1
12.75,24,1
12.75,22.5,1
12.75,15,1
12.75,13.5,1
12.75,10.5,1
12.75,9,1
12.75,7.5,1
12.75,6,1
14.25,40.5,1
14.25,39,1
14.25,37.5,1
14.25,36,1
14.25,34.5,1
14.25,33,1
14.25,31.5,1
14.25,30,1
14.25,28.5,1
14.25,27,1
14.25,25.5,1
14.25,24,1
14.25,22.5,1
14.25,21,1
14.25,19.5,1
14.25,18,1
14.25,16.5,1
14.25,15,1
14.25,13.5,1
14.25,12,1
14.25,10.5,1
14.25,9,1
14.25,7.5,1
15.75,34.5,1
15.75,33,1
15.75,22.5,1
15.75,18,1
15.75,16.5,1
15.75,15,1
15.75,13.5,1
15.75,12,1
17.25,34.5,1
17.25,33,1
17.25,31.5,1
17.25,30,1
17.25,28.5,1
17.25,27,1
17.25,25.5,1
17.25,24,1
17.25,22.5,1
17.25,18,1
17.25,16.5,1
17.25,15,1
17.25,13.5,1
17.25,12,1
18.75,34.5,1
18.75,33,1
18.75,22.5,1
18.75,18,1
18.75,16.5,1
18.75,15,1
18.75,13.5,1
18.75,12,1
20.25,34.5,1
20.25,33,1
20.25,22.5,1
20.25,18,1
20.25,16.5,1
20.25,15,1
20.25,13.5,1
20.25,12,1
21.75,34.5,1
21.75,33,1
21.75,31.5,1
21.75,30,1
21.75,28.5,1
21.75,27,1
21.75,25.5,1
21.75,24,1
21.75,22.5,1
21.75,21,1
21.75,19.5,1
21.75,18,1
21.75,16.5,1
23.25,34.5,1
23.25,33,1
23.25,31.5,1
23.25,30,1
23.25,28.5,1
23.25,27,1
23.25,25.5,1
23.25,24,1
23.25,22.5,1
23.25,21,1
23.25,19.5,1
23.25,18,1
23.25,16.5,1
24.75,19.5,1
26.25,19.5,1
27.75,19.5,1
29.25,19.5,1
30.75,19.5,1
32.25,19.5,1
0.75,66,2
0.75,64.5,2
0.75,63,2
0.75,61.5,2
