BSSID;Location;x;y;z;floor;SSID;Channel;Model;Power;Antenna;Antenna gain for 2.4GHz;Antenna gain for 5GHz;Max RSSI for AP;POI for max RSSI
64-ae-0c-87-d4-30;Room 304;14.0;58.9;2.8;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-49;309781
64-ae-0c-86-72-00;Room 310;6.6;57.7;2.8;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-50;309906
64-ae-0c-90-78-90;Room 311;6.6;48.0;2.8;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-48;310060
b8-62-1f-17-1a-50;Room 312;6.6;37.8;2.8;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-53;310201
b8-62-1f-1c-ff-00;Room 313;6.6;28.7;2.8;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-49;310284
b8-62-1f-1c-ee-f0;Room 314;6.6;18.5;2.8;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-47;310284
b8-62-1f-1c-ef-00;Room 316;6.6;6.8;2.8;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;310946
b8-62-1f-17-35-d0;Room 317;8.9;9.4;2.7;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;311209
b8-62-1f-1d-01-60;Room 318;8.9;16.3;2.8;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-52;311340
b8-62-1f-1c-f2-20;Room 328;32.5;20.0;3.1;3;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-64;330423
64-d9-89-c5-a1-20;Corridor;6.7;8.7;2.3;4;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;408781
64-ae-0c-86-a5-50;Corridor;6.7;33.9;2.3;4;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;409144
64-ae-0c-87-18-b0;Corridor;6.7;58.1;2.4;4;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;409441
64-ae-0c-90-7d-c0;Corridor;31.9;34.3;2.3;4;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-45;437285
64-ae-0c-87-be-a0;Corridor;6.7;33.4;2.1;5;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-37;511105
64-ae-0c-86-ef-40;Corridor;6.7;57.4;2.3;5;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-37;511402
64-ae-0c-86-de-30;Corridor;31.9;34.3;2.3;5;MiNIa;1;CISCO AIR-LAP1142N-E-K9 ;20dBm;Integrated horizontal beamwidth 360°;4dBi;3dBi;-39;544106
